Please stick to the column headings described below.  Marks should be
rounded to the nearest 0.5. Be sure to use the decimal notation,
e.g. '7.5' for, for fractional marks, rather than '7,5' which may be
interpreted incorrectly.

Studentnumber, Own mark Exc1, Reviewer's mark Exc1, Own Mark Exc 2, Reviewer's mark Exc 2, Own Mark Exc 3, Reviewer's mark Exc 3
3361063, 9.5, 9.5
3583600, 9,   7 , 7.5
3677842, 9, 8.4
3698475, 8, 7.5 , 2
3701441,  , 8
3705269, 3
3705951, 10, 9.5
3749002, 9.3, 9, 8.9
3800296, , 8.6
3821382, 9.25, , , 4.6
3824985, 10, 9.8
3873994, 9.75, 9.5
4158334, 9, 9,
5534941, 8.0, 7.9,
5540232, 7.5, 8.5
F133012, 9.75 , 10
F133216, , 2.7
F142001, 10,
